"OTU","kingdom","phylum","class","order","family","genus","species","guild","guild2"
"ITSall_OTUb_8077","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_periconioides","mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_5969","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_echinulatum","mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_2413","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_13","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_2741","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_8414","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUc_1349","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_griseum","mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_28185","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_151","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_1173","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_chlamydosporicum","mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUd_1875","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"mycorrhizal","Ectomycorrhizal"
